filename,label,label_id,subject,activity,clip,frame
data\fall_data\Subject1\Activity1\1\img_000001.png,no_fall,0,Subject1,Activity1,1,1
data\fall_data\Subject1\Activity1\1\img_000002.png,no_fall,0,Subject1,Activity1,1,2
data\fall_data\Subject1\Activity1\1\img_000003.png,no_fall,0,Subject1,Activity1,1,3
data\fall_data\Subject1\Activity1\1\img_000004.png,no_fall,0,Subject1,Activity1,1,4
data\fall_data\Subject1\Activity1\1\img_000005.png,no_fall,0,Subject1,Activity1,1,5
data\fall_data\Subject1\Activity1\1\img_000006.png,no_fall,0,Subject1,Activity1,1,6
data\fall_data\Subject1\Activity1\1\img_000007.png,no_fall,0,Subject1,Activity1,1,7
data\fall_data\Subject1\Activity1\1\img_000008.png,no_fall,0,Subject1,Activity1,1,8
data\fall_data\Subject1\Activity1\1\img_000009.png,no_fall,0,Subject1,Activity1,1,9
data\fall_data\Subject1\Activity1\1\img_000010.png,no_fall,0,Subject1,Activity1,1,10
data\fall_data\Subject1\Activity1\1\img_000011.png,no_fall,0,Subject1,Activity1,1,11
data\fall_data\Subject1\Activity1\1\img_000012.png,no_fall,0,Subject1,Activity1,1,12
data\fall_data\Subject1\Activity1\1\img_000013.png,no_fall,0,Subject1,Activity1,1,13
data\fall_data\Subject1\Activity1\1\img_000014.png,no_fall,0,Subject1,Activity1,1,14
data\fall_data\Subject1\Activity1\1\img_000015.png,no_fall,0,Subject1,Activity1,1,15
data\fall_data\Subject1\Activity1\1\img_000016.png,no_fall,0,Subject1,Activity1,1,16
data\fall_data\Subject1\Activity1\1\img_000017.png,no_fall,0,Subject1,Activity1,1,17
data\fall_data\Subject1\Activity1\1\img_000018.png,no_fall,0,Subject1,Activity1,1,18
data\fall_data\Subject1\Activity1\1\img_000019.png,no_fall,0,Subject1,Activity1,1,19
data\fall_data\Subject1\Activity1\1\img_000020.png,no_fall,0,Subject1,Activity1,1,20
data\fall_data\Subject1\Activity1\1\img_000021.png,no_fall,0,Subject1,Activity1,1,21
data\fall_data\Subject1\Activity1\1\img_000022.png,no_fall,0,Subject1,Activity1,1,22
data\fall_data\Subject1\Activity1\1\img_000023.png,no_fall,0,Subject1,Activity1,1,23
data\fall_data\Subject1\Activity1\1\img_000024.png,no_fall,0,Subject1,Activity1,1,24
data\fall_data\Subject1\Activity1\1\img_000025.png,no_fall,0,Subject1,Activity1,1,25
data\fall_data\Subject1\Activity1\1\img_000026.png,no_fall,0,Subject1,Activity1,1,26
data\fall_data\Subject1\Activity1\1\img_000027.png,no_fall,0,Subject1,Activity1,1,27
